k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7
10,3,10-10-10-10-10-10-10-10-10-10,1.0377953085964742,0.8481571073871014,0.5334150623890325,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.228868223271494,0.9922266232895218,0.5002246740188845,,,,
10,3,5-5-5-5-5-5-5-15-20-30,2.0546848538871454,1.2401926540708668,0.48275651716891377,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.5485845837758279,1.2927863058066493,0.5267059064953035,,,,
10,3,5-5-5-10-10-10-10-10-15-20,2.897173593655177,1.4027961625264593,0.4855692832757169,,,,
10,3,5-5-5-5-5-5-5-15-20-30,2.7740243441980885,2.61911037847102,0.7665412138231824,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.68199993489519,1.4491818102692096,0.5401101493216607,,,,
10,3,5-5-5-10-10-10-10-10-15-20,3.4472772206544438,1.5639064805030676,0.43350176381646494,,,,
10,3,5-5-5-5-5-5-5-15-20-30,3.4541805549116282,3.263215489411881,0.3774929323794418,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.1689724525782057,0.9100077135846281,0.8251643679945667,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.9386957937465294,0.9819800925503396,0.626953269109538,,,,
10,3,5-5-5-5-5-5-5-15-20-30,2.145400445233376,1.1333135092485176,0.48376176019579714,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.851143300354597,0.720445748262207,0.6224048925508875,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.2009800879421415,0.7724247490250609,0.5687442494464081,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.4801756037831955,1.0348672392308291,0.5924005826274304,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.1604560841825995,0.8689345058783362,0.6385974057780673,,,,
10,3,5-5-5-10-10-10-10-10-15-20,0.9612343915607766,0.851461318200428,0.5633248111995722,,,,
10,3,5-5-5-5-5-5-5-15-20-30,0.8470905394258507,0.8139191297260704,0.5852799241611695,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.9404722995024258,0.7726165152108371,0.5396126952263232,,,,
10,3,5-5-5-10-10-10-10-10-15-20,0.8499281305808318,0.7533385444630343,0.5638821850856792,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.1191976983189755,0.7842297922039405,0.5013752167319961,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.9208544643228322,0.6903597477762453,0.5095033575378829,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.300403540948142,0.6751450900750294,0.49593943756059433,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.1970626230983443,0.98258010284368,0.4665972336230876,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.9247914915270539,0.7001866822717688,0.6440577815281368,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.144708596586079,0.7023237836933551,0.5580082723714092,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.4104570109635557,1.0809530324607455,0.4968196984179254,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.179660932608237,0.7399936662225957,0.6949770116599316,,,,
10,3,5-5-5-10-10-10-10-10-15-20,0.8812399803393586,0.8136225991715177,0.6600118955803441,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.2803793654173088,0.7537090852839564,0.5966895200548705,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.478451877237968,0.9077245949843936,0.5302203859851868,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.0650921203707382,0.8658273396385061,0.5552390843140979,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.145633419278055,0.8548882665008606,0.5420337260325847,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.8000000000000034,1.799999999999999,1.285714285714288,,,,
10,3,5-5-5-10-10-10-10-10-15-20,3.8000000000000065,3.8000000000000047,3.2352941176470633,,,,
10,3,5-5-5-5-5-5-5-15-20-30,3.8000000000000025,3.7999999999999994,3.235294117647062,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.9574403923773375,0.6743509233472096,0.6257182798010426,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.1191158504752248,0.8107113115131129,0.5303737684194288,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.5628996311011258,0.8117146437883981,0.46057311802568035,,,,
10,3,10-10-10-10-10-10-10-10-10-10,0.8643634015623395,0.7053377913185314,0.5897052459173532,,,,
10,3,5-5-5-10-10-10-10-10-15-20,0.7955767225786164,0.6824956092097908,0.5826194252061924,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.146177204606484,0.7258348686837173,0.5112228169995254,,,,
10,3,10-10-10-10-10-10-10-10-10-10,1.0561587113678674,0.8678812433087105,0.5338482534381808,,,,
10,3,5-5-5-10-10-10-10-10-15-20,1.3540300706473454,0.7196911741822284,0.4973365250075926,,,,
10,3,5-5-5-5-5-5-5-15-20-30,1.6366589519126704,0.6890794340353483,0.48829504379969824,,,,
10,5,10-10-10-10-10-10-10-10-10-10,1.2696267696292045,1.2088869987950484,1.1409266409169732,1.0726489794676586,0.6855689645248799,,
10,5,5-5-5-10-10-10-10-10-15-20,2.4966616027221553,2.2116382226127076,1.53375709348166,0.9415629172691983,0.47809582147189333,,
10,5,5-5-5-5-5-5-5-15-20-30,2.5552238511151066,2.481894128181113,2.36629661090642,1.4689782959480413,0.29569287296446944,,
