k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7
10,7,5-5-5-10-10-10-10-10-15-20,1.9883578517514624,0.9993761727887519,0.9978023032544844,0.9955839299062748,0.9806128186986035,0.7352535457547974,0.44587602743296306
10,7,5-5-5-5-5-5-5-15-20-30,2.101263523942129,2.0935719394035286,2.0847018057105986,1.9878080091412837,1.6578813180333887,0.5680273760666912,0.3377925334229146
10,7,10-10-10-10-10-10-10-10-10-10,1.0000000000000018,1.0000000000000004,0.9999999999999993,0.9999999999999989,0.9999999999999984,0.9999999999999976,0.4814814814814785
10,7,5-5-5-10-10-10-10-10-15-20,2.111111111111117,2.1111111111111063,1.8972215753244275,1.0000000000000024,0.9999999999999992,0.9999999999999954,0.5719142271447089
10,7,5-5-5-5-5-5-5-15-20-30,2.1111111111111183,2.1111111111111147,2.1111111111111143,2.1111111111111103,2.111111111111108,2.111111111111104,1.3931623931623938
10,7,10-10-10-10-10-10-10-10-10-10,0.964409930899207,0.9067249785301431,0.883668682832266,0.8308343741173769,0.7319929102809796,0.6969141093117455,0.6310129324356304
10,7,5-5-5-10-10-10-10-10-15-20,1.2005346110350208,0.9781800406610479,0.9377727064811998,0.9217825087969106,0.8435758912047624,0.6848448485336109,0.5292246462040706
10,7,5-5-5-5-5-5-5-15-20-30,2.024098961190984,1.8450958686162862,1.5488032340414621,1.3095667034011487,0.9888633555390816,0.5680643176110874,0.4655048033212877
10,7,10-10-10-10-10-10-10-10-10-10,0.980162842450005,0.9510697484200527,0.9489044403637406,0.9279330022649237,0.8589463298140155,0.730137653135165,0.5795268239316118
10,7,5-5-5-10-10-10-10-10-15-20,1.370128706102854,0.9837006594089525,0.9693314313379876,0.9539074865461249,0.9098030375841677,0.7004677099874388,0.4814576216923535
10,7,5-5-5-5-5-5-5-15-20-30,2.0464059828474386,1.9438177788157762,1.7641251010574222,1.7456271753937025,1.1897123319751417,0.5551825099875376,0.35322949342143406
10,7,10-10-10-10-10-10-10-10-10-10,0.9341263050564197,0.9272837909737852,0.8830420293027524,0.843791011423817,0.7568067765182931,0.7208860364300776,0.6656650293326571
10,7,5-5-5-10-10-10-10-10-15-20,1.7095916478350897,1.264563011591444,0.930791862593237,0.8677122382003309,0.7616916380877337,0.6666827816931881,0.4978383155409277
10,7,5-5-5-5-5-5-5-15-20-30,1.9372808087627325,1.8126901241822915,1.6107771003641362,1.5063488595998948,1.245773665053085,0.5706417637160391,0.3416977685275968
