k,q,alpha,rho_1,rho_2,rho_3
5,3,10-10-10-30-40,1.587651648091665,1.113478956871597,0.34173795589241984
5,3,20-20-20-20-20,0.729858743691024,0.6169355201255927,0.5240855673402252
5,3,10-20-20-20-30,0.7447496547766621,0.6499101373160112,0.5264914731145365
5,3,10-10-20-20-40,1.259900594857359,0.6821636543264409,0.5424599256863202
5,3,10-10-10-30-40,1.2861894091259518,1.10111610349709,0.3765419654400648
5,3,20-20-20-20-20,0.7533206944056023,0.5618792671680448,0.552604140155925
5,3,10-20-20-20-30,0.800145893556294,0.7140059208573981,0.5053357255474462
5,3,10-10-20-20-40,1.6691711704508416,0.721693818482644,0.4708755932977539
5,3,10-10-10-30-40,1.6708543609328481,1.034047023574668,0.3321169321683932
5,3,20-20-20-20-20,0.780672280246866,0.6402412547872829,0.5779895845490804
5,3,10-20-20-20-30,0.906048479822025,0.7594636184021569,0.5869371319086343
5,3,10-10-20-20-40,1.117157919216069,0.79290363153224,0.5756745946463336
5,3,10-10-10-30-40,1.6739360047701712,1.1008514912451763,0.3849248155625067
5,3,20-20-20-20-20,0.7930563483541313,0.7552989180754754,0.5091534409798022
5,3,10-20-20-20-30,0.7948486079112569,0.7665202648231372,0.5056501795017406
5,3,10-10-20-20-40,1.586166516773152,0.782524646237427,0.5244740308316652
5,3,10-10-10-30-40,1.7606867035972513,1.4554264734104292,0.3615565074782294
5,3,20-20-20-20-20,0.7762675750066264,0.7203333848872906,0.5215497182248766
5,3,10-20-20-20-30,1.5652963475084145,0.672572758041764,0.39521572460355064
5,3,10-10-20-20-40,1.7062601236702257,1.3141793906303894,0.31757310133632766
5,3,10-10-10-30-40,1.7224576338200543,1.3695698721101857,0.30946940090750563
5,3,20-20-20-20-20,0.7061549422288681,0.6271704359655629,0.5079535524703458
5,3,10-20-20-20-30,0.71691406898969,0.6614362206232365,0.5155436937783062
5,3,10-10-20-20-40,1.082409013496246,0.7147206706453934,0.531051309493089
5,3,10-10-10-30-40,1.1332467656172645,1.0892070086967705,0.37458052669113684
5,3,20-20-20-20-20,0.775762465735087,0.6826720012007316,0.6523132109414088
5,3,10-20-20-20-30,1.6116598367395003,0.7166835861471291,0.5120910816945663
5,3,10-10-20-20-40,1.6679941436011196,1.4584536393124106,0.46437816204654825
5,3,10-10-10-30-40,1.7153460347116876,1.4714982499482636,0.35662817410304437
5,3,20-20-20-20-20,0.7784408913226486,0.6886444581114363,0.5197616723988188
5,3,10-20-20-20-30,1.5704510383769035,0.6192474168104244,0.41435957796801226
5,3,10-10-20-20-40,1.573369604537204,1.194764875622996,0.3463529019017304
5,3,10-10-10-30-40,1.5960265956572994,1.2988622606097007,0.3264800442444632
5,3,20-20-20-20-20,0.7661492103926567,0.6907279940772971,0.5851536137650567
5,3,10-20-20-20-30,0.7870162415558736,0.7384838199349884,0.6136517533013284
5,3,10-10-20-20-40,1.2585083883146515,0.7845365281087973,0.5931136329847929
5,3,10-10-10-30-40,1.4721597772719224,1.2572338710231097,0.4780005659048818
5,3,20-20-20-20-20,0.7779291165057687,0.7270348216619195,0.5576303433866496
5,3,10-20-20-20-30,1.2699224368413176,0.7611799989714909,0.5700520229780172
5,3,10-10-20-20-40,1.3752615616683754,0.7803687371546677,0.5729014154083573
5,3,10-10-10-30-40,1.550133942330261,1.349072192719623,0.4330286545541573
5,3,20-20-20-20-20,0.7279615556099343,0.6351215069621801,0.585727161016725
5,3,10-20-20-20-30,1.4255289857372384,0.6373215371518084,0.4069946826954976
5,3,10-10-20-20-40,1.5315889759090349,0.9373555353706221,0.367718259596192
