eps_0,eps_1,eps_2,lambda_0,lambda_1
0.08,0.01,0.91,24.505326544611027,2.6443987301142506
0.07,0.01,0.92,24.505384544342334,3.087783157521031
0.06,0.01,0.93,24.50546586847038,3.6800180024973486
0.05,0.01,0.94,24.50558800360728,4.510369443201235
0.04,0.01,0.95,24.50579174903713,5.7573661456997165
0.03,0.01,0.96,24.506199485327905,7.837550514672106
0.02,0.01,0.97,24.507422863961878,12.000309094801064
0.01,0.01,0.98,24.750000000000053,24.2551020408164
0.97,0.02,0.01,24.507422863961885,12.000309094801029
0.96,0.02,0.02,12.250000000000002,11.760416666666664
0.95,0.02,0.03,12.019444347576751,7.827046880493418
0.94,0.02,0.04,12.014683843286953,5.7512736035215575
0.93,0.02,0.05,12.01309243076947,4.505724773531604
0.92,0.02,0.06,12.01229654203787,3.676109255063574
0.91,0.02,0.07,12.01181928223379,3.0843345639200592
0.9,0.02,0.08,12.011501449627438,2.64127632815034
0.89,0.02,0.09,12.011274764307947,2.297401889874326
0.88,0.02,0.1,12.011105071391405,2.022985837699501
0.87,0.02,0.11,12.010973390679112,1.7991102038872402
0.86,0.02,0.12,12.01086833204129,1.613162675710651
0.85,0.02,0.13,12.010782646475022,1.456411923660724
0.84,0.02,0.14,12.010711501129016,1.3226218322043124
0.83,0.02,0.15,12.010651550265298,1.2072199356784772
0.82,0.02,0.16,12.010600404288748,1.1067776444917374
0.81,0.02,0.17,12.010556311121508,1.0186738994812465
0.8,0.02,0.18,12.010517957040525,0.9408709318483641
0.79,0.02,0.19,12.010484337796894,0.8717608320898496
0.78,0.02,0.2,12.010454672690221,0.810058147822593
0.77,0.02,0.21,12.010428345775127,0.7547231693763887
0.76,0.02,0.22,12.010404864705196,0.704906140079494
0.75,0.02,0.23,12.010383831336396,0.6599060237360668
0.74,0.02,0.24,12.010364920348858,0.6191395841556453
0.73,0.02,0.25,12.010347863447265,0.5821178899773898
0.72,0.02,0.26,12.010332437513119,0.548428246247564
0.71,0.02,0.27,12.01031845560274,0.5177201463795207
0.7,0.02,0.28,12.010305760025206,0.4896942399747921
0.69,0.02,0.29,12.010294216961265,0.4640935891356861
0.68,0.02,0.3,12.010283712238357,0.44069667991850636
0.67,0.02,0.31,12.010274147983033,0.4193117932783945
0.66,0.02,0.32,12.010265439946425,0.3997724388414525
0.65,0.02,0.33,12.010257515351073,0.38193362684006615
0.64,0.02,0.34,12.010250311145732,0.3656688065013256
0.63,0.02,0.35,12.010243772581825,0.35086733852928376
0.62,0.02,0.36,12.010237852046005,0.3374323988500567
0.61,0.02,0.37,12.010232508098072,0.3252792331513721
0.6,0.02,0.38,12.01022770467506,0.31433369883371043
0.59,0.02,0.39,12.010223410430546,0.304531044154416
0.58,0.02,0.4,12.010219598185255,0.2958148845733657
0.57,0.02,0.41,12.010216244469689,0.28813634431935675
0.56,0.02,0.42,12.010213329143694,0.28145333752296864
0.55,0.02,0.43,12.01021083508092,0.2757299683017447
0.54,0.02,0.44,12.010208747908473,0.27093603323630866
0.53,0.02,0.45,12.010207055794288,0.2670466129688105
0.52,0.02,0.46,12.010205749276048,0.26404174236274613
0.51,0.02,0.47,12.010204821127,0.26190615092139424
0.5,0.02,0.48,12.010204266255077,0.26062906707825384
0.49,0.02,0.49,12.010204081632653,0.26020408163265607
0.48,0.02,0.5,12.01020426625508,0.26062906707825384
0.47,0.02,0.51,12.010204821127001,0.26190615092139424
0.46,0.02,0.52,12.01020574927605,0.26404174236274613
0.45,0.02,0.53,12.010207055794291,0.26704661296881227
0.44,0.02,0.54,12.010208747908473,0.2709360332363069
0.43,0.02,0.55,12.010210835080924,0.2757299683017447
0.42,0.02,0.56,12.010213329143696,0.28145333752296864
0.41,0.02,0.57,12.010216244469687,0.288136344319355
0.4,0.02,0.58,12.010219598185254,0.29581488457336214
0.39,0.02,0.59,12.010223410430548,0.30453104415441423
0.38,0.02,0.6,12.01022770467506,0.31433369883371043
0.37,0.02,0.61,12.010232508098076,0.3252792331513721
0.36,0.02,0.62,12.010237852046,0.3374323988500567
0.35,0.02,0.63,12.010243772581825,0.35086733852928376
0.34,0.02,0.64,12.010250311145729,0.36566880650132383
0.33,0.02,0.65,12.010257515351075,0.38193362684006793
0.32,0.02,0.66,12.010265439946425,0.39977243884145075
0.31,0.02,0.67,12.010274147983036,0.4193117932783945
0.3,0.02,0.68,12.010283712238357,0.44069667991850814
0.29,0.02,0.69,12.010294216961267,0.4640935891356879
0.28,0.02,0.7,12.010305760025204,0.48969423997478856
0.27,0.02,0.71,12.010318455602741,0.5177201463795225
0.26,0.02,0.72,12.010332437513119,0.5484282462475658
0.25,0.02,0.73,12.010347863447269,0.582117889977388
0.24,0.02,0.74,12.010364920348861,0.6191395841556506
0.23,0.02,0.75,12.010383831336394,0.6599060237360685
0.22,0.02,0.76,12.010404864705201,0.704906140079494
0.21,0.02,0.77,12.010428345775125,0.754723169376387
0.2,0.02,0.78,12.010454672690226,0.8100581478225948
0.19,0.02,0.79,12.010484337796894,0.8717608320898496
0.18,0.02,0.8,12.010517957040529,0.9408709318483677
0.17,0.02,0.81,12.01055631112151,1.0186738994812465
0.16,0.02,0.82,12.010600404288748,1.1067776444917357
0.15,0.02,0.83,12.0106515502653,1.2072199356784772
0.14,0.02,0.84,12.010711501129018,1.3226218322043177
0.13,0.02,0.85,12.010782646475018,1.4564119236607116
0.12,0.02,0.86,12.010868332041285,1.613162675710651
0.11,0.02,0.87,12.01097339067911,1.7991102038872402
0.1,0.02,0.88,12.011105071391409,2.0229858376994905
0.09,0.02,0.89,12.011274764307949,2.29740188987431
0.08,0.02,0.9,12.01150144962744,2.6412763281503366
0.07,0.02,0.91,12.011819282233784,3.0843345639200592
0.06,0.02,0.92,12.012296542037868,3.676109255063574
0.05,0.02,0.93,12.013092430769474,4.505724773531602
0.04,0.02,0.94,12.014683843286942,5.751273603521511
0.03,0.02,0.95,12.019444347576734,7.8270468804933735
0.02,0.02,0.96,12.24999999999999,11.760416666666673
0.01,0.02,0.97,24.50742286396171,12.000309094801063
0.96,0.03,0.01,24.506199485327958,7.837550514672114
0.95,0.03,0.02,12.019444347576732,7.827046880493415
0.94,0.03,0.03,8.083333333333334,7.59929078014185
0.93,0.03,0.04,7.868854967983718,5.733295569650681
0.92,0.03,0.05,7.858578519157822,4.496493944610302
0.91,0.03,0.06,7.855106999254141,3.6696182754711275
0.9,0.03,0.07,7.853365916147832,3.079173766391853
0.89,0.03,0.08,7.85232057801873,2.6369116317190944
0.88,0.03,0.09,7.851623989155969,2.293578031046053
0.87,0.03,0.1,7.8511269962854655,2.019562658886951
0.86,0.03,0.11,7.85075489302277,1.79600338745644
0.85,0.03,0.12,7.850466129013969,1.6103181847115247
0.84,0.03,0.13,7.850235754821165,1.4537935492081395
0.83,0.03,0.14,7.8500478850051465,1.320204553319579
0.82,0.03,0.15,7.849891925405286,1.2049861233751997
0.81,0.03,0.16,7.849760539950194,1.1047147686917826
0.8,0.03,0.17,7.849648488069746,1.0167730805577033
0.79,0.03,0.18,7.849551926777059,0.9391259916476935
0.78,0.03,0.19,7.849467974285356,0.8701676532450113
0.77,0.03,0.2,7.849394427545427,0.8086142304632338
